Brand,Model,Variant,Descriptor,Audience,Price Band,Current Image URL,Status,Notes
Adidas,Ultraboost,Low,Performance running fused with lifestyle,Comfort-first buyers,Premium,https://images.unsplash.com/photo-1518894781321-630e638d0742?w=500,,
Adidas,Yeezy,350/700,High-demand collaborative silhouette,Hype market,Premium,https://images.unsplash.com/photo-1519415510236-718bdfcd89c8?w=500,,
New Balance,574,Low,Classic heritage runner,Everyday wearers,Mid,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=500,,
New Balance,550,Low,Retro basketball-silhouette revival,Fashion crowd,Mid,https://images.unsplash.com/photo-1600185365926-3a2ce3cdb9eb?w=500,,
New Balance,990 Series,Low,Premium cushioning dad shoe aesthetic,Premium casuals,Premium,https://images.unsplash.com/photo-1539185441755-769473a23570?w=500,,
New Balance,9060 / 57/40,Low,Contemporary design & comfort,Trend-aware crowd,Mid,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=500,,
New Balance,Fresh Foam,Low,Performance + lifestyle crossover,Active & comfort buyers,Mid,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,,
Dr. Martens,1460 8-eye Boot,Boot,Classic leather combat silhouette,Alternative fashion & creatives,Premium,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=500,,
Dr. Martens,2976 Chelsea Boot,Chelsea,Slip-on grunge classic,Street to smart-casual,Premium,https://images.unsplash.com/photo-1582897085656-c493a7cfd28d?w=500,,
Dr. Martens,Jadon Platform,Platform boot,Elevated platform for fashion statement,Bold stylers,Premium,https://images.unsplash.com/photo-1608256246200-53e635b5b65f?w=500,,
Dr. Martens,1461 Oxford,Low,Dress-meets-rebellion shoe,Versatile wardrobes,Premium,https://images.unsplash.com/photo-1533867617858-e7b97e060509?w=500,,
Nike,Dunk,Low/High/SB,Skate/retro crossover huge hype potential,Collectors & skaters,Mid,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=500,,
Nike,Blazer,Mid/Low,Vintage basketball silhouette now streetwear,Minimalists & retro fans,Mid,https://images.unsplash.com/photo-1542219550-37153d387c27?w=500,,
Nike,Pegasus,Running,Performance running shoe with lifestyle crossover,Runners & daily users,Mid,https://images.unsplash.com/photo-1515347619252-60a4bf4fff4f?w=500,,
Nike,Huarache,Low,Distinctive cage and neoprene fit,90s revival fans,Mid,https://images.unsplash.com/photo-1562183241-b937e95585b6?w=500,,
Nike,React / Vaporfly,Performance-lifestyle,Tech-led running options,Athletes & tech-lovers,Premium,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=500,,
Puma,Suede Classic,Low,Iconic streetwear silhouette,Retro street stylers,Mid,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=500,,
Puma,RS-X,Chunky,Fashion-forward chunky profile,Bold stylers,Mid,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,,
Puma,Cali,Low,Women-forward casual silhouette,Lifestyle market,Mid,https://images.unsplash.com/photo-1533867617858-e7b97e060509?w=500,,
Puma,Slipstream / Basket,Low,Sleek court-inspired options,Casual wearers,Entry,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=500,,
Puma,Clyde,Low,Basketball-turned-street icon,Heritage fans,Mid,https://images.unsplash.com/photo-1515347619252-60a4bf4fff4f?w=500,,
